ind_code,sat
413160-1,10.44964
413160-3,7.87971
586870-20,6.51064
586817-11,6.65698
586817-2,6.80266
592316-9,4.85565
29273-1,8.87557
29273-15,7.70294
29273-17,8.02591
29273-2,7.19467
29273-22,8.02669
29273-3,7.60051
29273-4,7.81206
29273-7,7.98653
29273-9,7.87861
413160-13,8.92901
413160-16,7.625
413160-20,7.67485
413160-21,8.01508
413160-22,8.00421
413160-24,7.20262
413160-7,7.46769
468476-1,7.84428
468476-15,8.18773
468476-19,7.57442
468476-2,7.93163
468476-5,7.52306
468476-8,7.63698
468476-9,7.51454
468477-12,8.28247
468477-3,7.29781
468477-5,7.74329
468477-7,7.50229
468477-8,8.3272
468477-9,7.93681
468482-14,6.3882
468482-5,6.77565
468482-6,6.43395
468482-8,6.88789
468482-9,6.95823
468486-3,7.49276
468486-4,6.48881
586870-19,6.64349
659440-10,4.94629
659440-13,6.13371
659440-16,4.481
659440-2,5.48099
659440-5,6.80301
659440-7,5.46379
659440-8,5.80767
649806-12,6.70104
649806-19,5.75276
649806-3,5.47549
649806-6,6.25601
649806-7,6.11252
649806-9,6.01883
531035-10,6.09763
531035-11,5.26581
531035-22,6.40534
531035-24,8.70346
586817-10,7.31719
586817-14,5.51803
586817-9,5.95993
613750-11,5.50355
613750-14,4.69339
613750-18,5.60284
613750-19,4.86943
613750-2,5.34592
613750-23,5.83976
613750-26,4.80008
613750-3,5.16013
613750-5,5.45819
613750-6,5.507
613750-7,5.73019
613750-8,5.07867
613750-9,5.9946
592311-1,4.79757
592311-12,5.84366
592311-15,6.26951
592311-4,5.14212
592316-1,4.12268
592316-10,4.61495
592316-11,4.35071
592316-12,4.76614
592316-5,4.71329
29273-16,6.342
29273-18,5.871
29273-24,7.555
29273-26,5.972
413160-12,6.817
413160-15,6.033
413160-19,7.545
413160-2,5.412
413160-8,6.488
413160-9,6.566
468476-10,6.603
468476-11,6.236
468476-12,5.966
468476-4,5.558
468476-6,6.16
468477-14,6.558
468482-3,5.358
468486-2,5.804
468486-6,4.854
586870-1,4.033
586870-12,6.18
586870-15,5.059
586870-2,4.524
586870-21,4.628
586870-6,4.77
649806-16,5.293
531035-16,3.954
531035-5,3.509
531035-8,4.227
586817-12,3.651
586817-13,6.226
586817-17,3.924
586817-21,4.786
586817-7,6.1
586817-8,5.028
613750-10,2.925
613750-13,3.444
613750-4,3.791
592320-16,2.379
592320-21,2.393
592320-24,2.602
592320-28,2.71
592311-5,3.246
592311-9,3.539
592316-3,2.943
592316-4,3.579
592316-6,1.915
592316-7,3.273
468476-7,5.51213
531035-1,5.23238
531035-14,4.56752
531035-17,4.16658
531035-2,4.3633
531035-4,4.47349
531035-6,4.7516
531035-7,5.62048
592320-10,3.72143
592320-11,4.17221
592320-13,4.05915
592320-14,3.36432
592320-6,2.865
592311-7,4.48709
592316-13,3.359
592316-14,4.51691
592316-15,2.605
592316-16,3.83751
592316-17,3.029
592316-2,3.63743
